YUBIN_7,JYUSYO,JYUSYO2
"2240054","神奈川県横浜市都筑区佐江戸町","1-1"
"2240046","神奈川県横浜市都筑区桜並木","1-1"
"2240035","神奈川県横浜市都筑区新栄町","1-1"
"2240013","神奈川県横浜市都筑区すみれが丘","1-1"
"2240065","神奈川県横浜市都筑区高山","1-1"
"2240032","神奈川県横浜市都筑区茅ケ崎中央","1-1"
"2240031","神奈川県横浜市都筑区茅ケ崎町","1-1"
"2240033","神奈川県横浜市都筑区茅ケ崎東","1-1"
"2240037","神奈川県横浜市都筑区茅ケ崎南","1-1"
"2240001","神奈川県横浜市都筑区中川","1-1"
"2240003","神奈川県横浜市都筑区中川中央","1-1"
"2240041","神奈川県横浜市都筑区仲町台","1-1"
"2240063","神奈川県横浜市都筑区長坂","1-1"
"2240052","神奈川県横浜市都筑区二の丸","1-1"
"2240025","神奈川県横浜市都筑区早渕","1-1"
"2240045","神奈川県横浜市都筑区東方町","1-1"
"2240023","神奈川県横浜市都筑区東山田","1-1"
"2240024","神奈川県横浜市都筑区東山田町","1-1"
"2240064","神奈川県横浜市都筑区平台","1-1"
"2240051","神奈川県横浜市都筑区富士見が丘","1-1"
"2240029","神奈川県横浜市都筑区南山田","1-1"
"2240026","神奈川県横浜市都筑区南山田町","1-1"
"2240066","神奈川県横浜市都筑区見花山","1-1"
